plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_data,incubation_temp_c,incubation_days,tds_mg_per_ml,notes,confidence,source_file,study_id,incability_days,inculation_days,extraction_concentration,effect_on_growth,effect_on_nematodes,reference,germination_percentage,hypocotyl_length,radicle_length,total_seedling_length,total_phenic_content_mg_gae_per_g,root_biomass,shoot_biomass,root_shoot_ratio,inc,total_phenolic_content,incubation_temp,tds,tds_mg,root_length,leaf_area,stomatal_conductance,leaf_length_mm,leaf_width_mm,flower_count,flower_size_mm,seeds_per_pod,pod_length_mm,pod_width_mm,pod_weight_g,seed_weight_g,seed_count,seed_maturity_days,seed_viability_percent,seed_harvest_time,seed_storage_time,seed_storage_conditions,seed_storage_temperature,seed_storage_humidity,seed_storage_moisture_content,seed_storage_chemicals,seed_storage_pests,seed_storage_disease,seed_storage_other,root_length_cm,root_mass_g,leaf_length,leaf_width,seed_weight,seed_size,seed_shape,seed_color,seed_maturity,seed_ripening,seed_harvest,seed_storage,seed_drying,seed_cleaning,seed_sowing,seed_growth,seed_germination,seed_viability,seed_health,seed_quality,seed_yield,seed_productivity,seed_resilience,seed_disease,root_diameter_mm,incianation_days,compound,activity
Pisumsativum,roots,,,,Pisumsativum,,,,,,{},,,,"Pisumsativum roots produce high thiol peptides and show lead tolerance mechanisms including ROS production and Ca2+ accumulation. Roots of several species (e.g., Brassicaceae) accumulate Pb and are key for rhizofiltration.",0.0,6199c8fccb87.pdf,ce6123f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium sativum,root meristematic cells,soil extract,cellular defense analysis,,Allium sativum,L.,,,,,{},,,,,,6199c8fccb87.pdf,ce6123f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabidopsis thaliana,leaves,ethanol,soxhlet extraction,,Arabidopsis thaliana,Col-0,,,,,{},,,,fpls-04-00175 — 2013/6/5 — 12:04 — page 6 — #6,0.0,6199c8fccb87.pdf,ce6123f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf and stem,aqueous,soaked,,Oryza sativa,rice,,,,,{},,,,Comparative study on the effects of soaked and crushed Lantana camara extracts on Oryza sativa germination and early seedling growth,0.0,63ed0de62bd5.pdf,725c1ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,leaves,distilled water,crushed and soaked,,Oryza sativa,,93.4,,,,{},25.0,15.0,,Soaked leaf extract at 2.5% concentration inhibited rice germination by 6.6%,0.0,63ed0de62bd5.pdf,725c1ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stem,,,,,,,,,,{},,,,"Biphasic effect: promotes growth at low concentrations (C3-C4) but inhibits at higher concentrations (C1-C2). C2 shows strongest root inhibition (14.7%), C3 strongest shoot inhibition (15.18%).",0.0,63ed0de62bd5.pdf,725c1ac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728.81,1,728.81,IVS,65.0,157.0,58.11,4,104.74,242.0,,{},110.22,4.0,340.88,200.0,649.9,63ed0de62bd5.pdf,725c1ac2,,,,,,,,,,,,,,,,493.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,,,,,,,,,{},,,,,0.0,674e5ea51e84.pdf,eee1e8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,,,,,,,,,,,{},,,,"Perennial evergreen multipurpose dry land tree or shrub native to the Caribbean, North and South America. Introduced to Africa in 1822 in Senegal; South Africa (1880), Egypt (1900) and Kenya (1973). Introduced to Eritrea from Sudan in early 1980s. Introduced to Ethiopia in late 1970s at Goro nursery in Dire-Dawa. Planted over large areas until 1982, continued by Food for Work Programme from 1986 to 1988. Now commonly found in Afar, Oromia, Amhara, Somali, Dire-Dawa regions and Southern Nations and Nationalities. Now repeatedly reported as invasive in Afar Region and spreading to Rift Valley of Ethiopia.",0.0,674e5ea51e84.pdf,eee1e8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,674e5ea51e84.pdf,eee1e8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium hysterophorus,leaves,,,,Sorghum bicolor,,93,,,,{},,,,"Parthenium hysterophorus causes reduced germination in lettuce (93% emergence), allelopathic effects on crops, and impacts on livestock in Ethiopia.",0.0,674e5ea51e84.pdf,eee1e8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,flowers,,,,,,,,,,{},,,,Prosopis is used for honey production from its flowers. Mechanical control is labor-intensive and expensive.,0.0,674e5ea51e84.pdf,eee1e8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,aqueous extraction,,,,,,,,{},29.0,,,"The study tested aqueous extracts of Lantana camara leaves on six popular agricultural crops in Bangladesh. The experiment was conducted in sterilized petridishes with a 24-hour photoperiod and an average temperature of 29°C. The results showed inhibitory effects on germination, root and shoot elongation, and lateral root development. The inhibitory effect increased with higher concentrations of the extract, though lower concentrations sometimes stimulated growth.",0.0,6e65712dd0d8.html,df2f3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,soxhlet,,rice,Aman,,,,,{},,,,Allelopathic effects of Lantana camara on germination and growth behavior of some agricultural crops in Bangladesh,0.0,6e65712dd0d8.html,df2f3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,6b83d36fa644.pdf,843ef76c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,leachates was never done.,0.0,6b83d36fa644.pdf,843ef76c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zostera marina,leaves,,,,,,,,,15.0,{},,,,Text discusses allelopathic interactions in marine organisms: Zostera marina leaves contain phenolic compounds (1.5% dry mass) that inhibit algae and bacteria; macroalgae like Plocamium hamatum produce monoterpenes; Nodularia harveyana exhibits allelopathic activity against cyanobacteria.,0.0,6b83d36fa644.pdf,843ef76c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinularia flexibilis,exudates,water,direct exudation,,Scleractinia,massive,,,,,"{""inhibitory_compounds"": ""terpenes""}",,,,"Soft corals (Sinularia flexibilis, Lobophytum hedleyi) inhibited growth and produced tissue necrosis in neighboring scleractinian corals due to exudation of inhibitory terpenes (Aceret et al., 1995).",0.0,6b83d36fa644.pdf,843ef76c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,none,dry powder preparation,,Triticum turgidum,,96.6,,,,{},,,,,,6f79d72a0bc6.html,2ce475b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,none,dry powder preparation,,Zea mays,,53.33,,,,{},,,,,,6f79d72a0bc6.html,2ce475b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Soybean,,,,,,{},,,,"Allellopathic Impacts of Leaf Litters Decomposition from Intercrop Tree Species on Soybean (Zhang et al., 2015) in Advance Journal of Food Science and Technology, Vol. 7, Issue 12, pp. 971-976",0.0,6f79d72a0bc6.html,2ce475b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,6f79d72a0bc6.html,2ce475b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,Identification and Characterization of FaFT1: A Homolog of FLOWERING LOCUS T from Strawberry,0.0,6f79d72a0bc6.html,2ce475b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,Leaf,"Aqueous, Methanol, Ethyl acetate, Chloroform","Standard extraction method (Harborne, 1998; Nath et al., 2013)",,Sugarcane,,,,,,{},,,,"Crude and solvent extracts of Lantana camara leaf showed significant antifungal activity against Colletotrichum falcatum at concentrations of 2, 4, and 8 mg/mL, with higher inhibition observed at higher concentrations compared to standard fluconazole (15 μg/mL).",0.0,7a1b0a14bf13.pdf,6f2c77c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,Methanol,solvent extraction,2.0,Saccharum,,,,,,{},,,,Lantana camara leaf extracts demonstrated dose-dependent inhibition of Colletotrichum falcatum with methanol extract showing MIC <2 mg/mL and MFC of 2 mg/mL.,0.0,7a1b0a14bf13.pdf,6f2c77c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,aqueous extraction,,Sugarcane,,,,,,{},,,,Antifungal activity against Colletotrichum falcatum (Sugarcane red rot),0.0,7a1b0a14bf13.pdf,6f2c77c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,Alectryon subcinereus,,,,,,{},,,,"Field experiment in Australian forest communities. Lantana camara was physically removed (LR) at 10, 20, 30 seedlings m^-2. Germination increased significantly for Alectryon subcinereus.",0.0,7c06375f978f.html,c241a802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,7c06375f978f.html,c241a802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,soxhlet,,Lantana camara,L. camara,,,,,{},,,,Allelopathy study in Australian forest communities,0.0,7c06375f978f.html,c241a802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,7cae760aeffa.pdf,d9295989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum lantana and Viburnum opulus,fruit,80% acetone with petroleum ether (1:1) for carotenoids; methanol for polyphenols and flavonoids,Homogenization followed by solvent extraction,,,,,,,,{},,,,Carotenoids extracted with 80% acetone and petroleum ether (1:1); polyphenols and flavonoids determined in methanol extracts using Folin-Ciocalteu reagent and Polish Farmacopoeia methods respectively.,0.0,7cae760aeffa.pdf,d9295989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum opulus,fruit,,,,Viburnum,opulus,,,,,{},,,,"Fruit morphology data for Viburnum opulus: number of fruits in raceme (68.40±19.86), weight of 100 fruits (42.86±3.23 g), fruit length (11.85±0.74 mm), drupelet characteristics, and anatomical features",0.0,7cae760aeffa.pdf,d9295989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,,,,,,,,,,,{},,,,"Lantana camara L. is a hardy evergreen perennial shrub invasive in Ethiopia, posing threats to biodiversity, agricultural lands, human and animal health, and national parks. Hotspots include Debrezeit, Dire Dawa, Harar, and Somali regions. It spreads through human activities and natural disturbances, reducing native biodiversity and affecting irrigation systems.",0.0,86fb10d39359.pdf,307554c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,,,,,,,,,,,{},,,,"Lantana camara L. is an invasive alien species in Ethiopia that has caused ecological, agricultural, and health issues. It spreads rapidly, affects biodiversity, reduces crop yields, and poses risks to human health through toxic fruits and harboring disease vectors like malaria and tsetse flies.",0.0,86fb10d39359.pdf,307554c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,Leaves,,,,,,,,,,{},,,,"Lantana camara L. is a toxic plant in Ethiopia causing livestock toxicosis and infesting national parks. Traditional uses include treating headaches, vomiting, diarrhea, and fungal infections via oral and topical application of leaves.",0.0,86fb10d39359.pdf,307554c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,seeds,,,,,,,,,,{},,,,matter) can increase Lantana camara L. germination (Gentle & Duggin 1997; Duggin & Gentle 1998). So care should be taken when utilizing this method for Lantana camara L. control and removal. The other limitation of 189,0.0,86fb10d39359.pdf,307554c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,,,,,,,{},,,,"Lantana camara leaves contain 23.3% crude protein, 15.7% ash, 88% dry matter, 4.4% crude fat, and 78.2% TDN. However, it is toxic to livestock due to pentacyclic triterpenoids (lantadenes) causing liver damage and photosensitivity. Goats are less resistant to lantadene toxicity compared to cattle, sheep, and buffalo.",0.0,88fa08cb2c02.pdf,7e34812d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,,,,,,,{},,,,"L. camara leaves (23.3% crude protein) show potential as protein source for goats. Higher feed value than grain (9.3% crude protein). Contains anti-nutritional factors (phytate, tannins, oxalate) causing kidney necrosis and lung inflammation in goats. Recommended for controlled use in goat diets to manage invasive species.",0.0,88fa08cb2c02.pdf,7e34812d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,Goat,,,,,,{},,,,"Review indicates that Lantana camara leaves have higher nutritional value compared to grain, with proximate compositions showing moisture content 11% and crude protein 9.3% for grain. Ash content is 12.63% and ADL 6.0%.",0.0,88fa08cb2c02.pdf,7e34812d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,70% methanol,maceration,,,,,,,9.16,{},,,,"Lantana camara leaves extract; 70% methanol, maceration method; TFC: 11.5±0.056 mg hydrated catechin equivalent/ml; TPC: 9.16±0.016 mg GAE/g; DPPH activity: 86.3±0.354%",0.0,8908b556acce.pdf,952e16a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,methanol,soxhlet,,,,,,,,{},,,,Evaluation of antioxidant activity and total phenol in different varieties of Lantana camara leaves,0.0,8908b556acce.pdf,952e16a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhazya stricta,leaf powder,,powdered,,,,,,,,{},,,,"Study by Anwar et al. on weedicidal potential of leaf powders of Rhazya stricta, Pinus roxburghii, Carica papaya, and Lantana camara against weeds. Concentrations: 10 and 50 mg leaf powder per 0.75 (w/v) agar, soil, and filter paper. Parameters: germination percentage, radicle length, plumule length.",0.0,8aae094b5503.pdf,40d7f900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhazya stricta Decne,leaves,dry powder,sandwich method,,Phalaris minor,minor,31,,,,{},,15.0,,Allelopathic effects on weeds,0.0,8aae094b5503.pdf,40d7f900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,seed,water,filter paper,10.0,C. album,C. album,58,91.6,0,0,{},25.0,7.0,0,Germination test with L. camara leaf powder at 10 mg concentration on filter paper,0.8,8aae094b5503.pdf,40d7f900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonis vernalis,root tips,water,water extraction,1.83,Triticum aestivum,,0,0,0,0,{},25.0,0.125,,,,937630ca295d.pdf,491ff1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonis vernalis,aerial parts,water,Hot Water,,Triticum aestivum,,,,,,{},,,,,0.0,937630ca295d.pdf,491ff1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,aqueous,Petri dish bioassay,,Abelmoschus esculentus,,54.6,,,,{},,,,Petri dish bioassay: Lantana camara leaf extract on Abelmoschus esculentus,0.0,93a6dd31b8af.html,09a72260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,peel,water,plasmochemical extraction,,Citrus,,,,,,{},,,,Synthesis of silver nanoparticles using orange peel extract prepared by plasmochemical extraction method and degradation of methylene blue under solar irradiation,0.0,915e0522d79a.html,e0dd6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,waste eggshell membrane-assisted synthesis,,,,,,,,{},,,,Waste eggshell membrane-assisted synthesis of magnetic CuFe2O4 nanomaterials for water remediation,0.0,915e0522d79a.html,e0dd6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium cepa,peel,water,biological,,,,,,,,{},,,,,,915e0522d79a.html,e0dd6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos nucifera,shell,water,green synthesis,,Cocos nucifera,,,,,,{},,,,Synthesis of silver nanoparticles from coconut shell for antibacterial activity,0.0,915e0522d79a.html,e0dd6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black currant,pomace,water,green synthesis,,,,,,,,{},,,,"Eco-friendly ‘green’ synthesis of silver nanoparticles with the black currant pomace extract and its antibacterial, electrochemical, and antioxidant activity.",0.0,915e0522d79a.html,e0dd6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,"Review article on green synthesis of nanoparticles from biodegradable waste extracts and their applications (Aswathi et al., 2023).",0.0,915e0522d79a.html,e0dd6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratum conyzoides,leaves,water,aqueous extraction,,cabbage,,,,,,{},,,,Used in Ghana as border plant for conservation biological control of cabbage pests and source of botanical insecticide (10% w/v aqueous extract).,0.0,983ccb6732ca.pdf,7341d11f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratum conyzoides,,,,,,,,,,,{},,,,Field experiment in Ghana testing habitat manipulation plants for pest control,0.0,983ccb6732ca.pdf,7341d11f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,983ccb6732ca.pdf,7341d11f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves and stems,"water, ethanol","water extraction (soaked in water for 3 days, filtered) and ethanol extraction (soxhlet apparatus)",,,,,,,,{},,,,"Lantana camara extracts (water and ethanol) showed antibacterial activity against 13 out of 15 pathogenic bacterial strains. Water solvent extracts inhibited Pseudomonas aeruginosa, Staphylococcus sp., Citrobacter frundi, Proteus sp., Bacillus subtilis, Enterobacter aerogenes, Salmonella paratyphie, Staphylococcus aureus, Shigella dysenteria. Ethanol extracts inhibited Pseudomonas aeruginosa, Staphylococcus sp., Bacillus subtilis, Bacillus cereus, Bacillus thuringiensis, Escherichia coli, Staphylococcus aureus, Proteus mirabilis.",0.0,a583e381e7e0.pdf,21a910f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,ethanol,soxhlet extraction,10.5,Lantana camara,var. camara,,,,15.2,{},,,,"Antimicrobial activity against pathogenic fungi and bacteria (Shrestha Vaidya et al., 2009)",0.85,a583e381e7e0.pdf,21a910f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,a84d2f69b47e.pdf,ce83d7ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,a84d2f69b47e.pdf,ce83d7ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essagaB,005,3.01,032.0,,taepocoC,5.01,,,,,{},,,,Theinfluenceofbiocharonpropertiesofsoils...,0.0,a84d2f69b47e.pdf,ce83d7ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,,,,,,,,,,,{},,,,"Review article on invasive noxious weeds in India, focusing on Cyperus rotundus, Eichhornia crassipes, and Lantana camara. Discusses their impact on crop yields, biodiversity, and management strategies.",0.0,ad75837abc59.pdf,5c72dfbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthospermum hispidum,seeds,,,,,,,,,,{},,,,"Invasive species in India, native to Brazil, spreads via seeds",0.0,ad75837abc59.pdf,5c72dfbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blumea obliqua,Seeds,,,,,,,,,,{},,,,,0.0,ad75837abc59.pdf,5c72dfbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirabilis jalapa L.,Seeds,,,,,,,,,,{},,,,,0.0,ad75837abc59.pdf,5c72dfbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,"Haramoto ER, Gallandt ER (2004) Brassica cover cropping for weed management: a review. Renew Agric Food Syst 19(4):187–198",0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryza sativa,leaf,,,,Oryza sativa,,,,,,{},,,,Efficacy of leaf extracts in controlling leaf blast and brown spot in rice (Oryza sativa L.),0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesamum indicum,seeds,ethanol,soxhlet extraction,,Oryza sativa,IR64,,,,,{},,,,Study on allelochemicals from sesame seeds affecting rice germination,0.0,96e34b529651.html,38067db4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thespesia populnea,seedlings,aqueous,whole plant aqueous extract,,Thespesia populnea,,,,,,{},,,,,0.0,bb395a081d36.html,e2e70dda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,b3f0623e6775.pdf,f5a1c125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
